#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pICBEC72Hmcr	NZ_CP015977.1	CP015977	33.304	41.8478	42	-	-	-	47	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pICBEC72Hctx	NZ_KX443694.1	KX443694	92.07	49.4406	112	-	-	-	123	11
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pATCC10798_F	NZ_CM007847.1	CM007847	67.493	51.6617	79	-	-	-	89	10
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN051542	NZ_CP020836.1	CP020836	37.362	44.5613	43	-	-	-	47	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pWI1-KPC3	NZ_LT838197.1	LT838197	54.518	52.8908	63	-	-	-	66	3
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pWI1-incFII	NZ_LT838198.1	LT838198	60.622	51.8228	75	-	-	-	86	11
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pWI1-incI1	NZ_LT838199.1	LT838199	83.831	49.6236	107	-	-	-	117	10
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP020934.1	CP020934	151.137	51.139	151	-	-	-	189	38
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP020935.1	-	3.346	50.7472	-	-	-	-	-	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP020936.1	CP020936	64.749	47.9436	67	-	-	-	78	11
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP018771.2	CP018771	19.788	52.3752	31	-	-	-	39	8
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP018772.1	CP018772	55.104	52.3029	62	-	-	-	69	7
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMCR-1-CT	NZ_CP018773.2	CP018773	33.304	41.8418	43	-	-	-	48	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed4	NZ_CP018774.2	CP018774	95.441	50.0707	114	-	-	-	131	17
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed5	NZ_CP018775.2	CP018775	174.847	49.6377	180	-	-	-	221	41
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pGZ3_NDM5	NZ_CP017981.1	CP017981	91.451	52.7605	110	-	-	-	131	21
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pG199_1	NZ_CM007889.1	CM007889	114.233	51.0194	139	-	-	-	161	22
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CM007909.1	CM007909	73.943	51.6411	81	-	-	-	95	14
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CM007910.1	CM007910	124.845	50.453	126	-	-	-	162	36
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed4	NZ_CM007911.1	CM007911	256.011	46.7792	267	-	-	-	312	45
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed5	NZ_CM007912.1	CM007912	3.174	51.9849	2	-	-	-	5	3
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed6	NZ_CM007913.1	CM007913	3.166	51.9267	-	-	-	-	4	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed7	NZ_CM007914.1	CM007914	59.459	45.6096	51	-	-	-	65	14
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p1002-1	NZ_CP021203.1	CP021203	183.508	49.9613	209	-	3	-	242	30
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p1002-4	NZ_CP021204.1	CP021204	92.438	50.3007	95	-	-	-	129	34
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p1002-MCR1	NZ_CP021205.1	CP021205	63.392	43.0086	74	-	-	-	88	14
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p1002-NDM1	NZ_CP021206.1	CP021206	111.688	52.3315	138	-	-	-	155	17
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p5CRE51-MCR-1	NZ_CP021176.1	CP021176	60.961	42.3566	76	-	-	-	81	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p5CRE51-NDM-9	NZ_CP021177.1	CP021177	154.099	48.5259	183	-	-	-	198	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p2474-3	NZ_CP021208.1	CP021208	86.725	49.5463	106	-	-	-	119	13
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p2474-MCR1	NZ_CP021209.1	CP021209	223.982	45.8296	227	-	-	-	254	27
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p2474-NDM1	NZ_CP021210.1	CP021210	75.553	50.7776	92	-	-	-	111	19
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p95JB1A	NZ_CP021336.1	CP021336	86.922	47.7555	109	-	-	-	112	3
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p95JB1B	NZ_CP021337.1	CP021337	83.138	50.3212	82	-	-	-	104	22
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p95NR1A	NZ_CP021340.1	CP021340	86.917	47.7571	110	-	-	-	112	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p95NR1B	NZ_CP021341.1	CP021341	81.853	50.2682	82	-	-	-	103	21
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC-81009	NZ_CP021180.1	CP021180	135.72	51.8715	146	-	-	-	191	45
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMTY17668-MCR1.5	NZ_AP018110.1	AP018110	62.375	42.4705	79	-	-	-	81	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP019561.1	CP019561	148.529	51.5818	140	-	-	-	179	39
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP019559.1	CP019559	277.79	45.3256	286	-	-	-	311	25
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000220	NZ_CP021533.1	CP021533	48.528	49.9794	59	-	-	-	75	16
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000221	NZ_CP021534.1	CP021534	46.161	46.6498	58	-	-	-	62	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_2	NZ_CP021536.1	CP021536	244.955	51.4331	281	-	-	-	330	49
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_3	NZ_CP021537.1	CP021537	97.474	47.8435	115	-	4	-	127	8
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_4	NZ_CP021538.1	CP021538	64.372	50.1553	72	-	-	-	90	18
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00002623	NZ_CP021680.1	CP021680	23.332	51.1229	14	-	-	-	24	10
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00003056	NZ_CP021681.1	CP021681	95.85	51.0443	81	-	-	-	108	27
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00003144	NZ_CP021682.1	CP021682	49.828	47.3429	59	-	-	-	65	6
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00008015	NZ_CP021684.1	CP021684	84.929	52.0694	104	-	-	-	120	16
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00007555j7554	NZ_CP021690.1	CP021690	163.045	51.0558	179	-	-	-	225	46
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00001251	NZ_CP021692.1	CP021692	46.161	46.6519	58	-	-	-	62	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00001252	NZ_CP021693.1	CP021693	50.228	50.7466	60	-	-	-	75	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000792	NZ_CP021719.1	CP021719	128.094	51.5887	156	-	-	-	178	22
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000793	NZ_CP021720.1	CP021720	216.378	50.6891	224	-	3	-	254	27
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000856	NZ_CP021721.1	CP021721	9.396	46.573	7	-	-	-	7	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_1	NZ_CP021733.1	CP021733	114.267	51.6588	140	-	-	-	166	26
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_2	NZ_CP021734.1	CP021734	85.195	53.7379	88	-	-	-	107	19
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_4	NZ_CP021735.1	CP021735	31.765	41.3317	46	-	-	-	47	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000255	NZ_CP021737.1	CP021737	117.703	52.98	128	-	-	-	152	24
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00000260	NZ_CP021738.1	CP021738	46.159	46.6518	57	-	-	-	62	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00002897alt	NZ_CP021739.1	CP021739	50.235	50.7415	59	-	-	-	75	16
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pH105	NZ_CP021871.1	CP021871	134.899	51.8707	148	-	-	-	191	43
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC974-1	NZ_CP021841.1	CP021841	118.934	49.7595	141	-	-	-	157	16
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC974-2	NZ_CP021842.1	CP021842	92.385	50.3794	80	-	-	-	122	42
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC974-3	NZ_CP021843.1	CP021843	78.672	51.2978	93	-	-	-	110	17
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC1515-1	NZ_CP021845.1	CP021845	125.099	50.2466	147	-	-	-	165	18
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC1515-2	NZ_CP021846.1	CP021846	92.35	50.3714	80	-	-	-	120	40
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC1515-3	NZ_CP021847.1	CP021847	84.091	51.7261	103	-	-	-	118	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00001069_pilon	NZ_CP021880.1	CP021880	169.449	51.6421	187	-	-	-	229	42
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00001145_pilon	NZ_CP021881.1	CP021881	101.165	51.9913	95	-	-	-	115	20
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	tig00001287_pilon	NZ_CP021882.1	CP021882	67.973	48.8679	87	-	-	-	101	14
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_2	NZ_CP021936.1	CP021936	138.34	51.9553	166	-	-	-	173	7
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_3j3rc_linear	NZ_CP021937.1	CP021937	151.11	54.502	177	-	-	-	213	36
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unitig_4	NZ_CP021938.1	CP021938	75.318	51.661	106	-	-	-	120	14
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pABWA45_1	NZ_CP022155.1	CP022155	145.22	52.8681	143	-	-	-	184	41
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pABWA45_2	NZ_CP022156.1	CP022156	113.793	54.6088	121	-	-	-	133	12
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pABWA45_3	NZ_CP022157.1	CP022157	57.232	50.1118	70	-	-	-	78	8
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pABWA45_4	NZ_CP022158.1	CP022158	47.9	46.5616	53	-	-	-	59	6
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pABWA45_5	NZ_CP022159.1	CP022159	7.537	57.6755	9	-	-	-	11	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pM160133_p1	NZ_CP022165.1	CP022165	233.149	45.5391	237	-	-	-	260	23
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pM160133_p2	NZ_CP022166.1	CP022166	173.624	50.8334	173	-	-	-	215	42
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pM160133_p3	NZ_CP022167.1	CP022167	113.428	46.2461	126	-	3	-	138	9
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pPSUO2	NZ_CP011916.1	CP011916	110.961	50.0401	126	-	-	-	153	27
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pPSUO78_1	-	CP012113	132.464	49.5304	101	-	-	1	149	47
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pPSUO78_2	-	CP012114	109.613	46.1296	94	-	3	-	133	36
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	-	CP014753	72.996	48.9438	70	-	-	-	79	9
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFORC44_1	NZ_CP018625.1	CP018625	111.755	51.0599	142	-	-	-	159	17
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFORC44_2	NZ_CP018626.1	CP018626	107.692	47.621	105	-	-	-	137	32
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p0157	NZ_CP022688.1	CP022688	92.032	47.5367	83	-	-	-	114	31
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC-592121_01	NZ_CM008164.1	CM008164	45.366	42.3246	56	-	-	-	62	6
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC-592121_02	NZ_CM008165.1	CM008165	100.14	52.0811	115	-	-	-	138	23
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC-592121_03	NZ_CM008166.1	CM008166	4.246	51.5544	3	-	-	-	4	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEC-592121_04	NZ_CM008167.1	CM008167	1.725	52.9855	2	-	-	-	3	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pPA45B	NZ_CP021289.1	CP021289	147.172	51.6206	163	-	-	-	194	31
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEGY1-MCR-1	NZ_CP023143.1	CP023143	228.947	46.0888	246	-	-	-	261	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEGY2	NZ_CP023144.1	CP023144	103.234	53.1937	114	-	-	-	139	25
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEGY3	NZ_CP023145.1	CP023145	87.173	50.9665	78	-	-	-	113	35
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pLH1-mcr1	NZ_CM008267.1	CM008267	248.198	46.3807	252	-	-	-	282	30
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pLH57-mcr1	NZ_CM008264.1	CM008264	218.8	48.0041	224	-	-	-	267	43
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pLH30-mcr1	NZ_CM008265.1	CM008265	223.898	45.908	237	-	-	-	254	17
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p1rc4-mcr1	NZ_CM008266.1	CM008266	239.098	46.2149	255	-	-	-	279	24
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP023347.1	CP023347	142.368	47.5943	165	-	-	-	211	46
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP023348.1	CP023348	88.757	51.7931	104	-	-	-	131	27
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP023350.1	CP023350	112.045	48.0753	119	-	-	-	145	26
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP023351.1	CP023351	77.345	51.8637	107	-	-	-	118	11
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP023352.1	CP023352	45.777	49.9377	43	-	-	-	55	12
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p54	NZ_CP023360.1	CP023360	53.914	44.6526	62	-	-	-	66	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p80	NZ_CP023361.1	CP023361	80.602	51.392	73	-	-	-	99	26
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p85	NZ_CP023362.1	CP023362	85.57	49.9907	104	-	-	-	117	13
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p100	NZ_CP023358.1	CP023358	100.008	48.6041	106	-	-	-	122	16
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	134q	NZ_CP023363.1	CP023363	134.388	51.9444	147	-	-	-	181	34
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p92	NZ_CP023365.1	CP023365	92.421	50.1553	116	-	-	-	127	11
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p86	NZ_CP023387.1	CP023387	86.147	53.2532	104	-	-	-	112	8
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p74	NZ_CP023389.1	CP023389	74.094	51.185	97	-	-	-	103	6
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p62	NZ_CP023354.1	CP023354	62.312	51.9001	63	-	-	-	94	31
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p72	NZ_CP023355.1	CP023355	72.47	51.4972	90	-	-	-	119	29
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p95	NZ_CP023356.1	CP023356	94.881	50.107	119	-	-	-	129	10
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p123	NZ_CP023378.1	CP023378	123.289	51.0986	126	-	-	-	172	46
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p39	NZ_CP023379.1	CP023379	39.598	44.2295	45	-	-	-	50	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p43	NZ_CP023380.1	CP023380	43.592	42.7395	57	-	-	-	63	6
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p91	NZ_CP023381.1	CP023381	91.199	48.1244	110	-	3	-	115	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p95	NZ_CP023382.1	CP023382	95.72	50.3009	114	-	-	-	130	16
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p111	NZ_CP023367.1	CP023367	111.523	48.685	112	-	-	-	138	26
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p48	NZ_CP023368.1	CP023368	48.774	44.5196	71	-	1	-	72	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p66	NZ_CP023369.1	CP023369	66.332	51.194	77	-	-	-	109	32
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p96	NZ_CP023370.1	CP023370	96.402	50.0985	110	-	-	-	129	19
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p147	NZ_CP023384.1	CP023384	147.369	48.7131	147	-	-	-	182	35
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p87	NZ_CP023385.1	CP023385	87.77	50.2165	110	-	-	-	118	8
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p109	NZ_CP023372.1	CP023372	109.207	52.145	124	-	-	-	153	29
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p31	NZ_CP023373.1	CP023373	31.364	41.3946	45	-	-	-	47	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p3	NZ_CP023374.1	CP023374	3.173	46.9587	4	-	-	-	5	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p7	NZ_CP023375.1	CP023375	6.8	51.9559	9	-	-	-	11	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	p92	NZ_CP023376.1	CP023376	92.42	50.1515	114	-	-	-	127	13
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMCR-1	NZ_CM008278.1	CM008278	62.343	42.7137	73	-	-	-	79	6
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY15-131_1	NZ_AP017621.1	AP017621	116.529	50.6501	131	-	-	-	171	40
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY15-131_2	NZ_AP017622.1	AP017622	60.722	42.3948	77	-	-	-	81	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY15-117_1	NZ_AP017618.1	AP017618	116.529	50.6501	131	-	-	-	171	40
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY15-117_2	NZ_AP017619.1	AP017619	61.223	42.435	79	-	-	-	83	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY16-002_1	NZ_AP017611.1	AP017611	168.972	47.6967	163	-	-	-	205	42
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY16-002_2	NZ_AP017612.1	AP017612	108.986	46.094	129	-	3	-	137	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY16-002_3	NZ_AP017613.1	AP017613	108.957	53.0512	127	-	-	-	137	10
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY16-002_4	NZ_AP017614.1	AP017614	61.805	42.4901	81	-	-	-	85	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY16-002_5	NZ_AP017615.1	AP017615	6.078	49.0951	9	-	-	-	9	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pMRY16-002_6	NZ_AP017616.1	AP017616	4.073	51.4608	3	-	-	-	4	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP023532.1	CP023532	13.833	48.9193	14	-	-	-	21	7
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP023533.1	CP023533	75.566	47.1588	70	-	-	-	104	34
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP023534.1	CP023534	108.679	49.0877	121	-	-	-	143	22
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP023530.1	CP023530	75.554	47.1583	70	-	-	-	104	34
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEcIMT16316	NZ_CP023816.1	CP023816	145.883	51.6702	154	-	-	-	202	48
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP023895.1	CP023895	91.648	53.2177	104	-	-	-	124	20
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP023896.1	CP023896	83.988	47.5056	86	-	3	-	97	8
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed4	NZ_CP023897.1	CP023897	51.479	46.3684	59	-	-	-	68	9
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed7	NZ_CP023898.1	CP023898	5.162	47.5203	5	-	-	-	5	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed6	NZ_CP023900.1	CP023900	34.323	48.3	39	-	-	-	54	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed10	NZ_CP023901.1	CP023901	1.552	51.8041	1	-	-	-	2	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed9	NZ_CP023902.1	CP023902	2.101	47.168	3	-	-	-	3	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP023903.1	CP023903	101.274	52.0854	100	-	-	-	134	34
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed8	NZ_CP023904.1	CP023904	4.011	42.2588	5	-	-	-	7	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed5	NZ_CP023905.1	CP023905	35.225	41.5869	54	-	-	-	57	3
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP023957.1	CP023957	48.55	49.967	57	-	-	-	72	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed4	NZ_CP023958.1	CP023958	3.264	47.0895	5	-	-	-	5	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP023959.1	CP023959	128.761	50.8298	132	-	-	-	172	40
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP023961.1	CP023961	96.807	47.7486	116	-	3	-	123	4
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP023871.1	CP023871	149.485	53.4368	158	-	-	-	197	39
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFAM21845_1	NZ_CP017221.1	CP017221	147.225	51.7242	160	-	-	-	192	32
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFAM21845_2	NZ_CP017222.1	CP017222	54.159	44.9381	57	-	-	-	62	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFAM21845_3	NZ_CP017223.1	CP017223	5.828	46.6198	6	-	-	-	9	3
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFAM21845_4	NZ_CP017224.1	CP017224	2.454	48.7775	5	-	-	-	6	1
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pFAM21845_5	NZ_CP017225.1	CP017225	1.934	51.3961	2	-	-	-	2	-
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEc98_1	NZ_CP024093.1	CP024093	88.23	49.3744	109	-	-	-	119	10
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEc98_2	NZ_CP024094.1	CP024094	20.481	57.6925	24	-	-	-	29	5
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	pEc98_3	NZ_CP024095.1	CP024095	58.875	43.0556	52	-	-	-	65	13
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP024254.1	CP024254	107.732	52.1386	120	-	-	-	163	43
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP024255.1	CP024255	95.515	47.2282	84	-	-	-	118	34
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP024261.1	CP024261	45.056	40.3143	56	-	-	-	58	2
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP024262.1	CP024262	119.846	47.1096	110	-	-	-	163	53
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP024279.1	CP024279	28.86	48.9778	15	-	-	-	30	15
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP024280.1	CP024280	52.655	45.5949	40	-	-	-	69	29
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP024281.1	CP024281	84.894	53.2782	109	-	-	-	121	12
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP024270.1	CP024270	35.769	48.1534	39	-	-	-	51	12
Escherichia coli	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP024271.1	CP024271	103.618	46.3636	102	-	3	-	131	26
